Metadata: {"arch":"arm64","console_log":"console.log","dist_size":577372,"engine":"je-perl","version":"0.066"}
es3/global.RangeError.thrown.js: OK
es3/global.ReferenceError.js: OK
es3/global.ReferenceError.thrown.js: OK
es3/global.SyntaxError.js: OK
es3/global.SyntaxError.thrown.js: OK
es3/global.TypeError.js: OK
es3/global.TypeError.thrown.js: OK
es3/global.URIError.js: OK
es3/global.URIError.thrown.js: OK
es3/global.decodeURIComponent.js: OK
es3/global.decodeURI.js: OK
es3/global.encodeURIComponent.js: OK
es3/global.encodeURI.js: OK
es3/global.undefined.js: OK
es3/identifiers.unicode.js: SyntaxError: Expected semicolon, '}' or end of line but found '� = 1;
es3/instanceof.js: OK
es3/in.js: OK
es3/labelled.break.js: OK
es3/labelled.continue.js: OK
es3/labelled.statements.js: OK
es3/literals.array.elisions.js: OK
es3/literals.array.js: OK
es3/literals.array.trailing-comma.js: OK
es3/literals.object.decimal.js: property name 1e2 failed; property name 2.5e1 failed
es3/literals.object.hex.js: OK
es3/literals.object.int.js: OK
es3/literals.object.js: OK
es3/literals.object.str.js: OK
es3/literals.object.unicode.js: SyntaxError: Expected colon but found '�: 42};
es3/literals.regex.ambiguous.js: OK
es3/literals.regex.empty.js: OK
es3/literals.regex.js: OK
es3/literals.string.esc-v.js: OK
es3/nested-functions.eval.js: OK
es3/nested-functions.js: OK
es3/regex.backref.js: OK
es3/regex.begin.js: OK
es3/regex.bracket.esc-b.js: OK
es3/regex.bracket.js: OK
es3/regex.bracket.ranges.js: OK
es3/regex.class.esc-d.js: OK
es3/regex.class.esc-s.js: OK
es3/regex.class.esc-w.js: OK
es3/regex.disjunction.js: OK
es3/regex.dot.js: OK
es3/regex.end.js: OK
es3/regex.escape.control.js: OK
es3/regex.escape.hex.js: OK
es3/regex.escape.js: OK
es3/regex.escape.nul.js: OK
es3/regex.escape.unicode.js: OK
es3/regex.flag.global.js: OK
es3/regex.flag.ignorecase.js: OK
es3/regex.flag.multiline.js: OK
es3/regex.group.js: OK
es3/regex.lookahead.js: OK
es3/regex.negative-lookahead.js: OK
es3/regex.non-capturing-group.js: OK
es3/regex.quantifier.exact.js: OK
es3/regex.quantifier.maybe.js: OK
es3/regex.quantifier.min.js: OK
es3/regex.quantifier.plus.js: OK
es3/regex.quantifier.range.js: OK
es3/regex.quantifier.star.js: OK
es3/regex.word-boundary.js: OK
es3/source.line-terminators.js: SyntaxError: Expected semicolon, '}' or end of line but found '��1;  // r' at source.line-terminators.js, line 13.
es3/source.whitespace.js: SyntaxError: Expected semicolon, '}' or end of line but found '�w = 4;   ' at source.whitespace.js, line 12.
es3/source.whitespace.unicode.js: SyntaxError: Expected semicolon, '}' or end of line but found '��x = 1;  ' at source.whitespace.unicode.js, line 8.
es3/strict-equals.js: OK
es3/switch.js: OK
es3/try-catch-finally.js: OK
es3/try-catch-throw.js: OK
es5/Array.isArray.js: TypeError: The object's 'isArray' property (undefined) is not a function at Array.isArray.js, line 16.
es5/Array.prototype.every.js: TypeError: The object's 'every' property (undefined) is not a function at Array.prototype.every.js, line 17.
es5/Array.prototype.filter.js: TypeError: The object's 'filter' property (undefined) is not a function at Array.prototype.filter.js, line 17.
es5/Array.prototype.forEach.js: TypeError: The object's 'forEach' property (undefined) is not a function at Array.prototype.forEach.js, line 18.
es5/Array.prototype.indexOf.js: TypeError: The object's 'indexOf' property (undefined) is not a function at Array.prototype.indexOf.js, line 17.
es5/Array.prototype.lastIndexOf.js: TypeError: The object's 'lastIndexOf' property (undefined) is not a function at Array.prototype.lastIndexOf.js, line 17.
es5/Array.prototype.map.js: TypeError: The object's 'map' property (undefined) is not a function at Array.prototype.map.js, line 17.
es5/Array.prototype.reduceRight.js: TypeError: The object's 'reduceRight' property (undefined) is not a function at Array.prototype.reduceRight.js, line 17.
es5/Array.prototype.reduce.js: TypeError: The object's 'reduce' property (undefined) is not a function at Array.prototype.reduce.js, line 17.
es5/Array.prototype.some.js: TypeError: The object's 'some' property (undefined) is not a function at Array.prototype.some.js, line 17.
es5/Array.prototype.sort.TypeError.js: failed
es5/Array.prototype.sort.undefined-comparefn.js: OK
es5/Date.now.js: TypeError: The object's 'now' property (undefined) is not a function at Date.now.js, line 16.
es5/Date.prototype.toISOString.js: TypeError: The object's 'toISOString' property (undefined) is not a function at Date.prototype.toISOString.js, line 17.
es5/Date.prototype.toJSON.js: TypeError: undefined has no properties, not even one named call at Date.prototype.toJSON.js, line 16.
es5/Function.prototype-not-enumerable.js: prototype is enumerable; named function prototype is enumerable; prototype appears in for-in
es5/Function.prototype.apply.array-like.js: array-like object not accepted
es5/Function.prototype.bind.js: TypeError: The object's 'bind' property (undefined) is not a function at Function.prototype.bind.js, line 18.
es5/JSON.js: typeof JSON !== 'object'
es5/JSON.parse.js: ReferenceError: The variable JSON has not been declared at JSON.parse.js, line 7.
es5/JSON.parse.reviver.js: ReferenceError: The variable JSON has not been declared at JSON.parse.reviver.js, line 7.
es5/JSON.stringify.js: ReferenceError: The variable JSON has not been declared at JSON.stringify.js, line 7.
es5/JSON.stringify.replacer.js: ReferenceError: The variable JSON has not been declared at JSON.stringify.replacer.js, line 7.
es5/JSON.stringify.space.js: ReferenceError: The variable JSON has not been declared at JSON.stringify.space.js, line 7.
es5/Object.create.js: TypeError: The object's 'create' property (undefined) is not a function at Object.create.js, line 17.
es5/Object.defineProperties.js: TypeError: The object's 'defineProperties' property (undefined) is not a function at Object.defineProperties.js, line 19.
es5/Object.defineProperty.js: TypeError: The object's 'defineProperty' property (undefined) is not a function at Object.defineProperty.js, line 17.
es5/Object.freeze.js: TypeError: The object's 'freeze' property (undefined) is not a function at Object.freeze.js, line 17.
es5/Object.getOwnPropertyDescriptor.js: TypeError: The object's 'getOwnPropertyDescriptor' property (undefined) is not a function at Object.getOwnPropertyDescriptor.js, line 17.
es5/Object.getOwnPropertyNames.js: TypeError: The object's 'getOwnPropertyNames' property (undefined) is not a function at Object.getOwnPropertyNames.js, line 17.
es5/Object.getPrototypeOf.js: TypeError: The object's 'create' property (undefined) is not a function at Object.getPrototypeOf.js, line 17.
es5/Object.isExtensible.js: TypeError: The object's 'isExtensible' property (undefined) is not a function at Object.isExtensible.js, line 17.
es5/Object.isFrozen.js: TypeError: The object's 'isFrozen' property (undefined) is not a function at Object.isFrozen.js, line 17.
es5/Object.isSealed.js: TypeError: The object's 'isSealed' property (undefined) is not a function at Object.isSealed.js, line 17.
es5/Object.keys.js: TypeError: The object's 'keys' property (undefined) is not a function at Object.keys.js, line 17.
es5/Object.preventExtensions.js: TypeError: The object's 'preventExtensions' property (undefined) is not a function at Object.preventExtensions.js, line 17.
es5/Object.property-shadowing.js: non-enumerable did not shadow enumerable
es5/Object.seal.js: TypeError: The object's 'seal' property (undefined) is not a function at Object.seal.js, line 17.
es5/String.indexing.js: 'foobar'[3] !== 'b'; test with variable failed
es5/String.prototype.trim.js: TypeError: The object's 'trim' property (undefined) is not a function at String.prototype.trim.js, line 17.
es5/arguments.toStringTag.js: failed
es5/debugger.js: ReferenceError: The variable debugger has not been declared at debugger.js, line 7.
es5/global.Infinity.immutable.js: Infinity is not a number after assignment; Infinity not positive infinity after assignment
es5/global.NaN.immutable.js: NaN is not a number after assignment; NaN === NaN after assignment
es5/global.parseInt.no-octal.js: OK
es5/global.undefined.immutable.js: undefined is not undefined after assignment
es5/literals.object.getters.js: SyntaxError: Expected colon but found 'x(){ retur' at literals.object.getters.js, line 9.
es5/literals.object.setters.js: SyntaxError: Expected colon but found 'x(v){ valu' at literals.object.setters.js, line 10.
es5/literals.object.trailing-comma.js: OK
es5/source.keyword-properties.js: SyntaxError: Expected '}', identifier, or string or  number literal but found 'case: 20, ' at source.keyword-properties.js, line 57.
es5/source.unreserved-words.js: OK
es5/source.whitespace.bom.js: SyntaxError: Expected semicolon, '}' or end of line but found '��// ES5: ' at source.whitespace.bom.js, line 1.
es5/source.zero-width-chars.js: SyntaxError: '_‌‍' is not a valid identifier at source.zero-width-chars.js, line 11.
es5/strict.eval-cannot-create-bindings.js: failed
es5/strict.function-expr-with-matching-name.js: OK
es5/strict.js: failed
es5/strict.no-arguments-callee.js: failed
es5/strict.no-arguments-caller.js: OK
es5/strict.no-assignment-to-non-writable.js: SyntaxError: Expected colon but found 'x(){ } }).' at strict.no-assignment-to-non-writable.js, line 29.
es5/strict.no-assignment-to-unresolvable.js: failed
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: failed
es5/strict.no-duplicate-parameters.js: failed
es5/strict.no-eval-or-arguments-assignment.js: failed
es5/strict.no-eval-or-arguments-bindings.js: failed
es5/strict.no-function-caller-or-arguments.js: failed
es5/strict.no-octal-literals.js: failed
es5/strict.no-with.js: failed
es5/strict.reserved-words.js: 'var implements' did not throw in strict mode
es5/strict.this-primitive-not-coerced-in-accessors.js: TypeError: The object's 'defineProperty' property (undefined) is not a function at strict.this-primitive-not-coerced-in-accessors.js, line 13.
es5/strict.this-primitive-not-coerced.js: string 'this' was coerced to object
es5/strict.this-undefined-in-function.js: outer 'this' is not undefined
es5/strict.unmapped-arguments.js: failed
es5/this.thrown-function.js: OK
