Metadata: {"arch":"arm64","console_log":"console.log","dist_size":211549,"engine":"bramblex","repository":"https://github.com/bramblex/jsjs.git","revision":"ab7133f7435acdf16a86473cbd36ab68d6195fba","revision_date":"2018-03-08"}
es3/labelled.statements.js: basic label failed; labelled block failed; nested labelled blocks failed
es3/literals.array.elisions.js: TypeError: Cannot read properties of null (reading 'type')
es3/literals.array.js: OK
es3/literals.array.trailing-comma.js: OK
es3/literals.object.decimal.js: OK
es3/literals.object.hex.js: OK
es3/literals.object.int.js: OK
es3/literals.object.js: OK
es3/literals.object.str.js: OK
es3/literals.object.unicode.js: OK
es3/literals.regex.ambiguous.js: OK
es3/literals.regex.empty.js: OK
es3/literals.regex.js: OK
es3/literals.string.esc-v.js: OK
es3/nested-functions.eval.js: ReferenceError: 'eval'
es3/nested-functions.js: OK
es3/regex.backref.js: OK
es3/regex.begin.js: OK
es3/regex.bracket.esc-b.js: OK
es3/regex.bracket.js: OK
es3/regex.bracket.ranges.js: OK
es3/regex.class.esc-d.js: OK
es3/regex.class.esc-s.js: OK
es3/regex.class.esc-w.js: OK
es3/regex.disjunction.js: OK
es3/regex.dot.js: OK
es3/regex.end.js: OK
es3/regex.escape.control.js: OK
es3/regex.escape.hex.js: OK
es3/regex.escape.js: OK
es3/regex.escape.nul.js: OK
es3/regex.escape.unicode.js: OK
es3/regex.flag.global.js: OK
es3/regex.flag.ignorecase.js: OK
es3/regex.flag.multiline.js: OK
es3/regex.group.js: OK
es3/regex.lookahead.js: OK
es3/regex.negative-lookahead.js: OK
es3/regex.non-capturing-group.js: OK
es3/regex.quantifier.exact.js: OK
es3/regex.quantifier.maybe.js: OK
es3/regex.quantifier.min.js: OK
es3/regex.quantifier.plus.js: OK
es3/regex.quantifier.range.js: OK
es3/regex.quantifier.star.js: OK
es3/regex.word-boundary.js: OK
es3/source.line-terminators.js: OK
es3/source.whitespace.js: OK
es3/source.whitespace.unicode.js: OK
es3/strict-equals.js: OK
es3/switch.js: OK
es3/try-catch-finally.js: OK
es3/try-catch-throw.js: OK
es5/Array.isArray.js: OK
es5/Array.prototype.every.js: TypeError: Cannot read properties of null (reading 'type')
es5/Array.prototype.filter.js: TypeError: Cannot read properties of null (reading 'type')
es5/Array.prototype.forEach.js: TypeError: Cannot read properties of null (reading 'type')
es5/Array.prototype.indexOf.js: OK
es5/Array.prototype.lastIndexOf.js: OK
es5/Array.prototype.map.js: OK
es5/Array.prototype.reduceRight.js: OK
es5/Array.prototype.reduce.js: TypeError: Cannot read properties of null (reading 'type')
es5/Array.prototype.some.js: TypeError: Cannot read properties of null (reading 'type')
es5/Array.prototype.sort.TypeError.js: OK
es5/Array.prototype.sort.undefined-comparefn.js: OK
es5/Date.now.js: OK
es5/Date.prototype.toISOString.js: OK
es5/Date.prototype.toJSON.js: OK
es5/Function.prototype-not-enumerable.js: ReferenceError: 'Function'
es5/Function.prototype.apply.array-like.js: OK
es5/Function.prototype.bind.js: ReferenceError: 'Function'
es5/JSON.js: OK
es5/JSON.parse.js: OK
es5/JSON.parse.reviver.js: OK
es5/JSON.stringify.js: OK
es5/JSON.stringify.replacer.js: OK
es5/JSON.stringify.space.js: OK
es5/Object.create.js: OK
es5/Object.defineProperties.js: TypeError: Cannot assign to read only property 'a' of object '#<Object>'
es5/Object.defineProperty.js: TypeError: Cannot assign to read only property 'y' of object '#<Object>'
es5/Object.freeze.js: TypeError: Cannot assign to read only property 'x' of object '#<Object>'
es5/Object.getOwnPropertyDescriptor.js: OK
es5/Object.getOwnPropertyNames.js: OK
es5/Object.getPrototypeOf.js: OK
es5/Object.isExtensible.js: OK
es5/Object.isFrozen.js: OK
es5/Object.isSealed.js: OK
es5/Object.keys.js: OK
es5/Object.preventExtensions.js: TypeError: Cannot add property y, object is not extensible
es5/Object.property-shadowing.js: ReferenceError: 'Function'
es5/Object.seal.js: TypeError: Cannot add property y, object is not extensible
es5/String.indexing.js: OK
es5/String.prototype.trim.js: OK
es5/arguments.toStringTag.js: OK
es5/debugger.js: OK
es5/global.Infinity.immutable.js: Infinity is not a number after assignment; Infinity not positive infinity after assignment
es5/global.NaN.immutable.js: NaN is not a number after assignment; NaN === NaN after assignment
es5/global.parseInt.no-octal.js: OK
es5/global.undefined.immutable.js: undefined 未定义
es5/literals.object.getters.js: OK
es5/literals.object.setters.js: OK
es5/literals.object.trailing-comma.js: OK
es5/source.keyword-properties.js: OK
es5/source.unreserved-words.js: OK
es5/source.whitespace.bom.js: OK
es5/source.zero-width-chars.js: OK
es5/strict.eval-cannot-create-bindings.js: failed
es5/strict.function-expr-with-matching-name.js: failed
es5/strict.js: failed
es5/strict.no-arguments-callee.js: OK
es5/strict.no-arguments-caller.js: OK
es5/strict.no-assignment-to-non-writable.js: failed
